observation_date,source,series_id,maturity,rate_bps
2021-07-09,UST,DGS5,5Y,79
2021-07-12,NYFED,EFFR,ON,10
2021-07-12,NYFED,SOFR,ON,5
2021-07-12,UST,DGS2,2Y,23
2021-07-12,UST,DGS5,5Y,81
2021-07-13,NYFED,EFFR,ON,10
2021-07-13,NYFED,SOFR,ON,5
2021-07-13,UST,DGS2,2Y,26
2021-07-13,UST,DGS5,5Y,85
2021-07-14,NYFED,EFFR,ON,10
2021-07-14,NYFED,SOFR,ON,5
2021-07-14,UST,DGS2,2Y,23
2021-07-14,UST,DGS5,5Y,80
2021-07-15,NYFED,EFFR,ON,10
2021-07-15,NYFED,SOFR,ON,5
2021-07-15,UST,DGS2,2Y,23
2021-07-15,UST,DGS5,5Y,78
2021-07-16,NYFED,EFFR,ON,10
2021-07-16,NYFED,SOFR,ON,5
2021-07-16,UST,DGS2,2Y,25
2021-07-16,UST,DGS5,5Y,79
2021-07-19,NYFED,EFFR,ON,10
2021-07-19,NYFED,SOFR,ON,5
2021-07-19,UST,DGS2,2Y,21
2021-07-19,UST,DGS5,5Y,70
2021-07-20,NYFED,EFFR,ON,10
2021-07-20,NYFED,SOFR,ON,5
2021-07-20,UST,DGS2,2Y,20
2021-07-20,UST,DGS5,5Y,69
2021-07-21,NYFED,EFFR,ON,10
2021-07-21,NYFED,SOFR,ON,5
2021-07-21,UST,DGS2,2Y,22
2021-07-21,UST,DGS5,5Y,74
2021-07-22,NYFED,EFFR,ON,10
2021-07-22,NYFED,SOFR,ON,5
2021-07-22,UST,DGS2,2Y,20
2021-07-22,UST,DGS5,5Y,71
2021-07-23,NYFED,EFFR,ON,10
2021-07-23,NYFED,SOFR,ON,5
2021-07-23,UST,DGS2,2Y,22
2021-07-23,UST,DGS5,5Y,72
2021-07-26,NYFED,EFFR,ON,10
2021-07-26,NYFED,SOFR,ON,5
2021-07-26,UST,DGS2,2Y,22
2021-07-26,UST,DGS5,5Y,73
2021-07-27,NYFED,EFFR,ON,10
2021-07-27,NYFED,SOFR,ON,5
2021-07-27,UST,DGS2,2Y,20
2021-07-27,UST,DGS5,5Y,71
2021-07-28,NYFED,EFFR,ON,10
2021-07-28,NYFED,SOFR,ON,5
2021-07-28,UST,DGS2,2Y,20
2021-07-28,UST,DGS5,5Y,72
2021-07-29,NYFED,EFFR,ON,10
2021-07-29,NYFED,SOFR,ON,5
2021-07-29,UST,DGS2,2Y,20
2021-07-29,UST,DGS5,5Y,73
2021-07-30,NYFED,EFFR,ON,7
2021-07-30,NYFED,SOFR,ON,5
2021-07-30,UST,DGS2,2Y,19
