observation_date,instrument_id,dv01_usd_per_bp,rate_sensitivity_sign,dv01_method
2021-03-03,YAHOO-CONTINUOUS-ZT,40.26,-1,cme_fixed_ics_ratio_proxy
2021-03-04,ERIS-YIT-202109,20.12,-1,eris_settlement_dv01
2021-03-04,ERIS-YIW-202012,47.08,-1,eris_settlement_dv01
2021-03-04,YAHOO-CONTINUOUS-ZF,47.08,-1,cme_fixed_ics_ratio_proxy
2021-03-04,YAHOO-CONTINUOUS-ZT,40.24,-1,cme_fixed_ics_ratio_proxy
2021-03-05,ERIS-YIT-202109,20.13,-1,eris_settlement_dv01
2021-03-05,ERIS-YIW-202012,47.08,-1,eris_settlement_dv01
2021-03-05,YAHOO-CONTINUOUS-ZF,47.08,-1,cme_fixed_ics_ratio_proxy
2021-03-05,YAHOO-CONTINUOUS-ZT,40.26,-1,cme_fixed_ics_ratio_proxy
2021-03-08,ERIS-YIT-202109,20.11,-1,eris_settlement_dv01
2021-03-08,ERIS-YIW-202012,46.89,-1,eris_settlement_dv01
2021-03-08,YAHOO-CONTINUOUS-ZF,46.89,-1,cme_fixed_ics_ratio_proxy
2021-03-08,YAHOO-CONTINUOUS-ZT,40.22,-1,cme_fixed_ics_ratio_proxy
2021-03-09,ERIS-YIT-202109,20.12,-1,eris_settlement_dv01
2021-03-09,ERIS-YIW-202012,46.95,-1,eris_settlement_dv01
2021-03-09,YAHOO-CONTINUOUS-ZF,46.95,-1,cme_fixed_ics_ratio_proxy
2021-03-09,YAHOO-CONTINUOUS-ZT,40.24,-1,cme_fixed_ics_ratio_proxy
2021-03-10,ERIS-YIT-202109,20.13,-1,eris_settlement_dv01
2021-03-10,ERIS-YIW-202012,46.98,-1,eris_settlement_dv01
2021-03-10,YAHOO-CONTINUOUS-ZF,46.98,-1,cme_fixed_ics_ratio_proxy
2021-03-10,YAHOO-CONTINUOUS-ZT,40.26,-1,cme_fixed_ics_ratio_proxy
2021-03-11,ERIS-YIT-202109,20.13,-1,eris_settlement_dv01
2021-03-11,ERIS-YIW-202012,46.97,-1,eris_settlement_dv01
2021-03-11,YAHOO-CONTINUOUS-ZF,46.97,-1,cme_fixed_ics_ratio_proxy
2021-03-11,YAHOO-CONTINUOUS-ZT,40.26,-1,cme_fixed_ics_ratio_proxy
2021-03-12,ERIS-YIT-202109,20.12,-1,eris_settlement_dv01
2021-03-12,ERIS-YIW-202012,46.81,-1,eris_settlement_dv01
2021-03-12,YAHOO-CONTINUOUS-ZF,46.81,-1,cme_fixed_ics_ratio_proxy
2021-03-12,YAHOO-CONTINUOUS-ZT,40.24,-1,cme_fixed_ics_ratio_proxy
2021-03-15,ERIS-YIT-202109,20.12,-1,eris_settlement_dv01
2021-03-15,ERIS-YIW-202012,46.77,-1,eris_settlement_dv01
2021-03-15,YAHOO-CONTINUOUS-ZF,46.77,-1,cme_fixed_ics_ratio_proxy
2021-03-15,YAHOO-CONTINUOUS-ZT,40.24,-1,cme_fixed_ics_ratio_proxy
2021-03-16,ERIS-YIT-202109,20.12,-1,eris_settlement_dv01
2021-03-16,ERIS-YIW-202012,46.76,-1,eris_settlement_dv01
2021-03-16,YAHOO-CONTINUOUS-ZF,46.76,-1,cme_fixed_ics_ratio_proxy
2021-03-16,YAHOO-CONTINUOUS-ZT,40.24,-1,cme_fixed_ics_ratio_proxy
2021-03-17,ERIS-YIT-202109,20.14,-1,eris_settlement_dv01
