observation_date,source,instrument_id,settlement_price,dv01_usd_per_bp
2021-02-25,ERIS,ERIS-YIW-202012,98.2177,
2021-02-25,YAHOO,YAHOO-CONTINUOUS-ZF,124.3359375,
2021-02-25,YAHOO,YAHOO-CONTINUOUS-ZT,110.3828125,
2021-02-26,ERIS,ERIS-YIT-202109,99.5683,
2021-02-26,ERIS,ERIS-YIW-202012,98.2572,
2021-02-26,YAHOO,YAHOO-CONTINUOUS-ZF,124.4140625,
2021-02-26,YAHOO,YAHOO-CONTINUOUS-ZT,110.42578125,
2021-03-01,ERIS,ERIS-YIT-202109,99.6283,
2021-03-01,ERIS,ERIS-YIW-202012,98.3872,
2021-03-01,YAHOO,YAHOO-CONTINUOUS-ZF,124.75,
2021-03-01,YAHOO,YAHOO-CONTINUOUS-ZT,110.48046875,
2021-03-02,ERIS,ERIS-YIT-202109,99.6362,
2021-03-02,ERIS,ERIS-YIW-202012,98.5256,
2021-03-02,YAHOO,YAHOO-CONTINUOUS-ZF,124.9375,
2021-03-02,YAHOO,YAHOO-CONTINUOUS-ZT,110.484375,
2021-03-03,ERIS,ERIS-YIT-202109,99.5927,
2021-03-03,ERIS,ERIS-YIW-202012,98.3355,
2021-03-03,YAHOO,YAHOO-CONTINUOUS-ZF,124.6796875,
2021-03-03,YAHOO,YAHOO-CONTINUOUS-ZT,110.44921875,
2021-03-04,ERIS,ERIS-YIT-202109,99.5722,
2021-03-04,ERIS,ERIS-YIW-202012,98.12,
2021-03-04,YAHOO,YAHOO-CONTINUOUS-ZF,124.453125,
2021-03-04,YAHOO,YAHOO-CONTINUOUS-ZT,110.44140625,
2021-03-05,ERIS,ERIS-YIT-202109,99.593,
2021-03-05,ERIS,ERIS-YIW-202012,98.1606,
2021-03-05,YAHOO,YAHOO-CONTINUOUS-ZF,124.4296875,
2021-03-05,YAHOO,YAHOO-CONTINUOUS-ZT,110.453125,
2021-03-08,ERIS,ERIS-YIT-202109,99.5583,
2021-03-08,ERIS,ERIS-YIW-202012,97.9833,
2021-03-08,YAHOO,YAHOO-CONTINUOUS-ZF,124.125,
2021-03-08,YAHOO,YAHOO-CONTINUOUS-ZT,110.3984375,
2021-03-09,ERIS,ERIS-YIT-202109,99.5719,
2021-03-09,ERIS,ERIS-YIW-202012,98.1341,
2021-03-09,YAHOO,YAHOO-CONTINUOUS-ZF,124.265625,
2021-03-09,YAHOO,YAHOO-CONTINUOUS-ZT,110.3984375,
2021-03-10,ERIS,ERIS-YIT-202109,99.5909,
2021-03-10,ERIS,ERIS-YIW-202012,98.228,
2021-03-10,YAHOO,YAHOO-CONTINUOUS-ZF,124.40625,
2021-03-10,YAHOO,YAHOO-CONTINUOUS-ZT,110.4140625,
2021-03-11,ERIS,ERIS-YIT-202109,99.6027,
2021-03-11,ERIS,ERIS-YIW-202012,98.2488,
2021-03-11,YAHOO,YAHOO-CONTINUOUS-ZF,124.4609375,
2021-03-11,YAHOO,YAHOO-CONTINUOUS-ZT,110.4453125,
2021-03-12,ERIS,ERIS-YIT-202109,99.5617,
2021-03-12,ERIS,ERIS-YIW-202012,98.0205,
2021-03-12,YAHOO,YAHOO-CONTINUOUS-ZF,124.1796875,
2021-03-12,YAHOO,YAHOO-CONTINUOUS-ZT,110.4296875,
2021-03-15,ERIS,ERIS-YIT-202109,99.5712,
2021-03-15,ERIS,ERIS-YIW-202012,98.1011,
2021-03-15,YAHOO,YAHOO-CONTINUOUS-ZF,124.2421875,
2021-03-15,YAHOO,YAHOO-CONTINUOUS-ZT,110.421875,
2021-03-16,ERIS,ERIS-YIT-202109,99.5821,
2021-03-16,ERIS,ERIS-YIW-202012,98.13,
2021-03-16,YAHOO,YAHOO-CONTINUOUS-ZF,124.2890625,
2021-03-16,YAHOO,YAHOO-CONTINUOUS-ZT,110.42578125,
2021-03-17,ERIS,ERIS-YIT-202109,99.6284,
2021-03-17,ERIS,ERIS-YIW-202012,98.2446,
2021-03-17,YAHOO,YAHOO-CONTINUOUS-ZF,124.5390625,
2021-03-17,YAHOO,YAHOO-CONTINUOUS-ZT,110.46484375,
2021-03-18,ERIS,ERIS-YIT-202109,99.5792,
2021-03-18,ERIS,ERIS-YIW-202012,98.0084,
2021-03-18,YAHOO,YAHOO-CONTINUOUS-ZF,124.1640625,
2021-03-18,YAHOO,YAHOO-CONTINUOUS-ZT,110.41015625,
2021-03-19,ERIS,ERIS-YIT-202109,99.5837,
2021-03-19,ERIS,ERIS-YIW-202012,97.9118,
2021-03-19,YAHOO,YAHOO-CONTINUOUS-ZF,124.140625,
2021-03-19,YAHOO,YAHOO-CONTINUOUS-ZT,110.4296875,
2021-03-22,ERIS,ERIS-YIT-202109,99.5948,
2021-03-22,ERIS,ERIS-YIW-202012,97.9956,
2021-03-22,YAHOO,YAHOO-CONTINUOUS-ZF,124.2265625,
2021-03-22,YAHOO,YAHOO-CONTINUOUS-ZT,110.4375,
2021-03-23,ERIS,ERIS-YIT-202109,99.6002,
2021-03-23,ERIS,ERIS-YIW-202012,98.1117,
2021-03-23,YAHOO,YAHOO-CONTINUOUS-ZF,124.359375,
2021-03-23,YAHOO,YAHOO-CONTINUOUS-ZT,110.44140625,
2021-03-24,ERIS,ERIS-YIT-202109,99.6176,
2021-03-24,ERIS,ERIS-YIW-202012,98.1685,
2021-03-24,YAHOO,YAHOO-CONTINUOUS-ZF,124.4375,
2021-03-24,YAHOO,YAHOO-CONTINUOUS-ZT,110.453125,
2021-03-25,ERIS,ERIS-YIT-202109,99.6327,
2021-03-25,ERIS,ERIS-YIW-202012,98.19,
2021-03-25,YAHOO,YAHOO-CONTINUOUS-ZF,124.5390625,
2021-03-25,YAHOO,YAHOO-CONTINUOUS-ZT,110.48046875,
2021-03-26,ERIS,ERIS-YIT-202109,99.6081,
2021-03-26,ERIS,ERIS-YIW-202012,98.0468,
2021-03-26,YAHOO,YAHOO-CONTINUOUS-ZF,124.3828125,
2021-03-26,YAHOO,YAHOO-CONTINUOUS-ZT,110.4609375,
2021-03-29,ERIS,ERIS-YIT-202109,99.5727,
2021-03-29,ERIS,ERIS-YIW-202012,97.8539,
2021-03-29,YAHOO,YAHOO-CONTINUOUS-ZF,124.2265625,
2021-03-29,YAHOO,YAHOO-CONTINUOUS-ZT,110.45703125,
2021-03-30,ERIS,ERIS-YIT-202109,99.5572,
2021-03-30,ERIS,ERIS-YIW-202012,97.7658,
2021-03-30,YAHOO,YAHOO-CONTINUOUS-ZF,124.140625,
2021-03-30,YAHOO,YAHOO-CONTINUOUS-ZT,110.453125,
2021-03-31,ERIS,ERIS-YIT-202109,99.5319,
2021-03-31,ERIS,ERIS-YIW-202012,97.6793,
2021-03-31,YAHOO,YAHOO-CONTINUOUS-ZF,124.109375,
2021-03-31,YAHOO,YAHOO-CONTINUOUS-ZT,110.453125,
2021-04-01,ERIS,ERIS-YIT-202109,99.544,
2021-04-01,ERIS,ERIS-YIW-202012,97.8009,
2021-04-01,YAHOO,YAHOO-CONTINUOUS-ZF,123.5546875,
2021-04-01,YAHOO,YAHOO-CONTINUOUS-ZT,110.359375,
2021-04-02,ERIS,ERIS-YIT-202109,99.4622,
2021-04-02,ERIS,ERIS-YIW-202012,97.4976,
2021-04-05,ERIS,ERIS-YIT-202109,99.5028,
2021-04-05,ERIS,ERIS-YIW-202012,97.6337,
2021-04-05,YAHOO,YAHOO-CONTINUOUS-ZF,123.3828125,
2021-04-05,YAHOO,YAHOO-CONTINUOUS-ZT,110.328125,
2021-04-06,ERIS,ERIS-YIT-202109,99.5553,
2021-04-06,ERIS,ERIS-YIW-202012,97.9197,
2021-04-06,YAHOO,YAHOO-CONTINUOUS-ZF,123.71875,
2021-04-06,YAHOO,YAHOO-CONTINUOUS-ZT,110.359375,
2021-04-07,ERIS,ERIS-YIT-202109,99.5758,
2021-04-07,ERIS,ERIS-YIW-202012,98.0111,
2021-04-07,YAHOO,YAHOO-CONTINUOUS-ZF,123.8125,
2021-04-07,YAHOO,YAHOO-CONTINUOUS-ZT,110.37890625,
2021-04-08,ERIS,ERIS-YIT-202109,99.5959,
2021-04-08,ERIS,ERIS-YIW-202012,98.1367,
2021-04-08,YAHOO,YAHOO-CONTINUOUS-ZF,123.8828125,
2021-04-08,YAHOO,YAHOO-CONTINUOUS-ZT,110.3828125,
2021-04-09,ERIS,ERIS-YIT-202109,99.5718,
2021-04-09,ERIS,ERIS-YIW-202012,98.0167,
2021-04-09,YAHOO,YAHOO-CONTINUOUS-ZF,123.734375,
2021-04-09,YAHOO,YAHOO-CONTINUOUS-ZT,110.37109375,
2021-04-12,ERIS,ERIS-YIT-202109,99.5524,
2021-04-12,ERIS,ERIS-YIW-202012,97.961,
2021-04-12,YAHOO,YAHOO-CONTINUOUS-ZF,123.609375,
2021-04-12,YAHOO,YAHOO-CONTINUOUS-ZT,110.34375,
2021-04-13,ERIS,ERIS-YIT-202109,99.6066,
2021-04-13,ERIS,ERIS-YIW-202012,98.2067,
2021-04-13,YAHOO,YAHOO-CONTINUOUS-ZF,123.875,
2021-04-13,YAHOO,YAHOO-CONTINUOUS-ZT,110.37109375,
2021-04-14,ERIS,ERIS-YIT-202109,99.5802,
2021-04-14,ERIS,ERIS-YIW-202012,98.1574,
2021-04-14,YAHOO,YAHOO-CONTINUOUS-ZF,123.765625,
2021-04-14,YAHOO,YAHOO-CONTINUOUS-ZT,110.36328125,
2021-04-15,ERIS,ERIS-YIT-202109,99.6221,
2021-04-15,ERIS,ERIS-YIW-202012,98.4611,
2021-04-15,YAHOO,YAHOO-CONTINUOUS-ZF,124.1171875,
2021-04-15,YAHOO,YAHOO-CONTINUOUS-ZT,110.37890625,
2021-04-16,ERIS,ERIS-YIT-202109,99.6018,
2021-04-16,ERIS,ERIS-YIW-202012,98.3513,
2021-04-16,YAHOO,YAHOO-CONTINUOUS-ZF,123.9609375,
2021-04-16,YAHOO,YAHOO-CONTINUOUS-ZT,110.36328125,
2021-04-19,ERIS,ERIS-YIT-202109,99.6115,
2021-04-19,ERIS,ERIS-YIW-202012,98.3394,
2021-04-19,YAHOO,YAHOO-CONTINUOUS-ZF,123.953125,
2021-04-19,YAHOO,YAHOO-CONTINUOUS-ZT,110.37109375,
2021-04-20,ERIS,ERIS-YIT-202109,99.6286,
2021-04-20,ERIS,ERIS-YIW-202012,98.4444,
2021-04-20,YAHOO,YAHOO-CONTINUOUS-ZF,124.1171875,
2021-04-20,YAHOO,YAHOO-CONTINUOUS-ZT,110.390625,
2021-04-21,ERIS,ERIS-YIT-202109,99.6211,
2021-04-21,ERIS,ERIS-YIW-202012,98.4125,
2021-04-21,YAHOO,YAHOO-CONTINUOUS-ZF,124.09375,
2021-04-21,YAHOO,YAHOO-CONTINUOUS-ZT,110.3984375,
2021-04-22,ERIS,ERIS-YIT-202109,99.6172,
2021-04-22,ERIS,ERIS-YIW-202012,98.3997,
2021-04-22,YAHOO,YAHOO-CONTINUOUS-ZF,124.1015625,
2021-04-22,YAHOO,YAHOO-CONTINUOUS-ZT,110.3984375,
2021-04-23,ERIS,ERIS-YIT-202109,99.6011,
2021-04-23,ERIS,ERIS-YIW-202012,98.3309,
2021-04-23,YAHOO,YAHOO-CONTINUOUS-ZF,124.0234375,
2021-04-23,YAHOO,YAHOO-CONTINUOUS-ZT,110.38671875,
2021-04-26,ERIS,ERIS-YIT-202109,99.592,
2021-04-26,ERIS,ERIS-YIW-202012,98.2897,
2021-04-26,YAHOO,YAHOO-CONTINUOUS-ZF,123.953125,
2021-04-26,YAHOO,YAHOO-CONTINUOUS-ZT,110.36328125,
2021-04-27,ERIS,ERIS-YIT-202109,99.5756,
2021-04-27,ERIS,ERIS-YIW-202012,98.1686,
2021-04-27,YAHOO,YAHOO-CONTINUOUS-ZF,123.828125,
2021-04-27,YAHOO,YAHOO-CONTINUOUS-ZT,110.3515625,
2021-04-28,ERIS,ERIS-YIT-202109,99.5955,
2021-04-28,ERIS,ERIS-YIW-202012,98.1966,
2021-04-28,YAHOO,YAHOO-CONTINUOUS-ZF,123.921875,
2021-04-28,YAHOO,YAHOO-CONTINUOUS-ZT,110.37890625,
2021-04-29,ERIS,ERIS-YIT-202109,99.5932,
2021-04-29,ERIS,ERIS-YIW-202012,98.1996,
2021-04-29,YAHOO,YAHOO-CONTINUOUS-ZF,123.8984375,
2021-04-29,YAHOO,YAHOO-CONTINUOUS-ZT,110.37890625,
2021-04-30,ERIS,ERIS-YIT-202109,99.5975,
2021-04-30,ERIS,ERIS-YIW-202012,98.221,
2021-04-30,YAHOO,YAHOO-CONTINUOUS-ZF,123.9375,
2021-04-30,YAHOO,YAHOO-CONTINUOUS-ZT,110.37890625,
2021-05-03,ERIS,ERIS-YIT-202109,99.6079,
2021-05-03,ERIS,ERIS-YIW-202012,98.3121,
2021-05-03,YAHOO,YAHOO-CONTINUOUS-ZF,124.0859375,
2021-05-03,YAHOO,YAHOO-CONTINUOUS-ZT,110.38671875,
2021-05-04,ERIS,ERIS-YIT-202109,99.6154,
2021-05-04,ERIS,ERIS-YIW-202012,98.3637,
2021-05-04,YAHOO,YAHOO-CONTINUOUS-ZF,124.109375,
2021-05-04,YAHOO,YAHOO-CONTINUOUS-ZT,110.3828125,
2021-05-05,ERIS,ERIS-YIT-202109,99.6273,
2021-05-05,ERIS,ERIS-YIW-202012,98.4254,
2021-05-05,YAHOO,YAHOO-CONTINUOUS-ZF,124.203125,
2021-05-05,YAHOO,YAHOO-CONTINUOUS-ZT,110.39453125,
2021-05-06,ERIS,ERIS-YIT-202109,99.635,
2021-05-06,ERIS,ERIS-YIW-202012,98.4583,
2021-05-06,YAHOO,YAHOO-CONTINUOUS-ZF,124.2421875,
2021-05-06,YAHOO,YAHOO-CONTINUOUS-ZT,110.3984375,
2021-05-07,ERIS,ERIS-YIT-202109,99.676,
2021-05-07,ERIS,ERIS-YIW-202012,98.6116,
2021-05-07,YAHOO,YAHOO-CONTINUOUS-ZF,124.3984375,
2021-05-07,YAHOO,YAHOO-CONTINUOUS-ZT,110.421875,
2021-05-10,ERIS,ERIS-YIT-202109,99.6714,
2021-05-10,ERIS,ERIS-YIW-202012,98.6033,
2021-05-10,YAHOO,YAHOO-CONTINUOUS-ZF,124.359375,
2021-05-10,YAHOO,YAHOO-CONTINUOUS-ZT,110.40625,
2021-05-11,ERIS,ERIS-YIT-202109,99.6491,
2021-05-11,ERIS,ERIS-YIW-202012,98.5364,
2021-05-11,YAHOO,YAHOO-CONTINUOUS-ZF,124.2578125,
2021-05-11,YAHOO,YAHOO-CONTINUOUS-ZT,110.390625,
2021-05-12,ERIS,ERIS-YIT-202109,99.6036,
2021-05-12,ERIS,ERIS-YIW-202012,98.2626,
2021-05-12,YAHOO,YAHOO-CONTINUOUS-ZF,123.96875,
2021-05-12,YAHOO,YAHOO-CONTINUOUS-ZT,110.375,
2021-05-13,ERIS,ERIS-YIT-202109,99.6262,
2021-05-13,ERIS,ERIS-YIW-202012,98.4051,
2021-05-13,YAHOO,YAHOO-CONTINUOUS-ZF,124.109375,
2021-05-13,YAHOO,YAHOO-CONTINUOUS-ZT,110.390625,
2021-05-14,ERIS,ERIS-YIT-202109,99.6289,
2021-05-14,ERIS,ERIS-YIW-202012,98.4488,
2021-05-14,YAHOO,YAHOO-CONTINUOUS-ZF,124.1796875,
2021-05-14,YAHOO,YAHOO-CONTINUOUS-ZT,110.40625,
2021-05-17,ERIS,ERIS-YIT-202109,99.6301,
2021-05-17,ERIS,ERIS-YIW-202012,98.4366,
2021-05-17,YAHOO,YAHOO-CONTINUOUS-ZF,124.140625,
2021-05-17,YAHOO,YAHOO-CONTINUOUS-ZT,110.3984375,
2021-05-18,ERIS,ERIS-YIT-202109,99.6315,
2021-05-18,ERIS,ERIS-YIW-202012,98.4393,
2021-05-18,YAHOO,YAHOO-CONTINUOUS-ZF,124.1875,
2021-05-18,YAHOO,YAHOO-CONTINUOUS-ZT,110.41015625,
2021-05-19,ERIS,ERIS-YIT-202109,99.606,
2021-05-19,ERIS,ERIS-YIW-202012,98.2905,
2021-05-19,YAHOO,YAHOO-CONTINUOUS-ZF,123.9921875,
2021-05-19,YAHOO,YAHOO-CONTINUOUS-ZT,110.390625,
2021-05-20,ERIS,ERIS-YIT-202109,99.6437,
2021-05-20,ERIS,ERIS-YIW-202012,98.46,
2021-05-20,YAHOO,YAHOO-CONTINUOUS-ZF,124.234375,
2021-05-20,YAHOO,YAHOO-CONTINUOUS-ZT,110.41015625,
2021-05-21,ERIS,ERIS-YIT-202109,99.6374,
2021-05-21,ERIS,ERIS-YIW-202012,98.4229,
2021-05-21,YAHOO,YAHOO-CONTINUOUS-ZF,124.1953125,
2021-05-21,YAHOO,YAHOO-CONTINUOUS-ZT,110.40234375,
2021-05-24,ERIS,ERIS-YIT-202109,99.6503,
2021-05-24,ERIS,ERIS-YIW-202012,98.5101,
2021-05-24,YAHOO,YAHOO-CONTINUOUS-ZF,124.2890625,
2021-05-24,YAHOO,YAHOO-CONTINUOUS-ZT,110.4140625,
2021-05-25,ERIS,ERIS-YIT-202109,99.6729,
2021-05-25,ERIS,ERIS-YIW-202012,98.6451,
2021-05-25,YAHOO,YAHOO-CONTINUOUS-ZF,124.4375,
2021-05-25,YAHOO,YAHOO-CONTINUOUS-ZT,110.4296875,
2021-05-26,ERIS,ERIS-YIT-202109,99.6755,
2021-05-26,ERIS,ERIS-YIW-202012,98.6365,
2021-05-26,YAHOO,YAHOO-CONTINUOUS-ZF,124.4296875,
2021-05-26,YAHOO,YAHOO-CONTINUOUS-ZT,110.43359375,
2021-05-27,ERIS,ERIS-YIT-202109,99.6703,
2021-05-27,ERIS,ERIS-YIW-202012,98.557,
2021-05-27,YAHOO,YAHOO-CONTINUOUS-ZF,124.34375,
2021-05-27,YAHOO,YAHOO-CONTINUOUS-ZT,110.4296875,
