observation_date,instrument_id,dv01_usd_per_bp,rate_sensitivity_sign,dv01_method
2023-06-14,ERIS-YIW-202309,45.1094964367,-1,eris_settlement_dv01
2023-06-14,YAHOO-CONTINUOUS-ZF,45.1094964367,-1,cme_fixed_ics_ratio_proxy
2023-06-14,YAHOO-CONTINUOUS-ZT,37.7523293876,-1,cme_fixed_ics_ratio_proxy
2023-06-15,ERIS-YIT-202309,18.9080265776,-1,eris_settlement_dv01
2023-06-15,ERIS-YIW-202309,45.3026443108,-1,eris_settlement_dv01
2023-06-15,YAHOO-CONTINUOUS-ZF,45.3026443108,-1,cme_fixed_ics_ratio_proxy
2023-06-15,YAHOO-CONTINUOUS-ZT,37.8160531552,-1,cme_fixed_ics_ratio_proxy
2023-06-16,ERIS-YIT-202309,18.8606303323,-1,eris_settlement_dv01
2023-06-16,ERIS-YIW-202309,45.1119205975,-1,eris_settlement_dv01
2023-06-16,YAHOO-CONTINUOUS-ZF,45.1119205975,-1,cme_fixed_ics_ratio_proxy
2023-06-16,YAHOO-CONTINUOUS-ZT,37.7212606646,-1,cme_fixed_ics_ratio_proxy
2023-06-20,ERIS-YIT-202309,18.8844874968,-1,eris_settlement_dv01
2023-06-20,ERIS-YIW-202309,45.2445891733,-1,eris_settlement_dv01
2023-06-20,YAHOO-CONTINUOUS-ZF,45.2445891733,-1,cme_fixed_ics_ratio_proxy
2023-06-20,YAHOO-CONTINUOUS-ZT,37.7689749936,-1,cme_fixed_ics_ratio_proxy
2023-06-21,ERIS-YIT-202309,18.8883342302,-1,eris_settlement_dv01
2023-06-21,ERIS-YIW-202309,45.2559243915,-1,eris_settlement_dv01
2023-06-21,YAHOO-CONTINUOUS-ZF,45.2559243915,-1,cme_fixed_ics_ratio_proxy
2023-06-21,YAHOO-CONTINUOUS-ZT,37.7766684604,-1,cme_fixed_ics_ratio_proxy
2023-06-22,ERIS-YIT-202309,18.8262535666,-1,eris_settlement_dv01
2023-06-22,ERIS-YIW-202309,45.0154857867,-1,eris_settlement_dv01
2023-06-22,YAHOO-CONTINUOUS-ZF,45.0154857867,-1,cme_fixed_ics_ratio_proxy
2023-06-22,YAHOO-CONTINUOUS-ZT,37.6525071332,-1,cme_fixed_ics_ratio_proxy
2023-06-23,ERIS-YIT-202309,18.868085354,-1,eris_settlement_dv01
2023-06-23,ERIS-YIW-202309,45.1653770683,-1,eris_settlement_dv01
2023-06-23,YAHOO-CONTINUOUS-ZF,45.1653770683,-1,cme_fixed_ics_ratio_proxy
2023-06-23,YAHOO-CONTINUOUS-ZT,37.736170708,-1,cme_fixed_ics_ratio_proxy
2023-06-26,ERIS-YIT-202309,18.8852631155,-1,eris_settlement_dv01
2023-06-26,ERIS-YIW-202309,45.2589292907,-1,eris_settlement_dv01
2023-06-26,YAHOO-CONTINUOUS-ZF,45.2589292907,-1,cme_fixed_ics_ratio_proxy
2023-06-26,YAHOO-CONTINUOUS-ZT,37.770526231,-1,cme_fixed_ics_ratio_proxy
2023-06-27,ERIS-YIT-202309,18.8303388028,-1,eris_settlement_dv01
2023-06-27,ERIS-YIW-202309,45.0766926159,-1,eris_settlement_dv01
2023-06-27,YAHOO-CONTINUOUS-ZF,45.0766926159,-1,cme_fixed_ics_ratio_proxy
2023-06-27,YAHOO-CONTINUOUS-ZT,37.6606776056,-1,cme_fixed_ics_ratio_proxy
2023-06-28,ERIS-YIT-202309,18.8660465609,-1,eris_settlement_dv01
2023-06-28,ERIS-YIW-202309,45.247552806,-1,eris_settlement_dv01
2023-06-28,YAHOO-CONTINUOUS-ZF,45.247552806,-1,cme_fixed_ics_ratio_proxy
2023-06-28,YAHOO-CONTINUOUS-ZT,37.7320931218,-1,cme_fixed_ics_ratio_proxy
2023-06-29,ERIS-YIT-202309,18.764882438,-1,eris_settlement_dv01
2023-06-29,ERIS-YIW-202309,44.7881028113,-1,eris_settlement_dv01
2023-06-29,YAHOO-CONTINUOUS-ZF,44.7881028113,-1,cme_fixed_ics_ratio_proxy
2023-06-29,YAHOO-CONTINUOUS-ZT,37.529764876,-1,cme_fixed_ics_ratio_proxy
2023-06-30,ERIS-YIT-202309,18.7621358958,-1,eris_settlement_dv01
2023-06-30,ERIS-YIW-202309,44.8071050578,-1,eris_settlement_dv01
2023-06-30,YAHOO-CONTINUOUS-ZF,44.8071050578,-1,cme_fixed_ics_ratio_proxy
2023-06-30,YAHOO-CONTINUOUS-ZT,37.5242717916,-1,cme_fixed_ics_ratio_proxy
2023-07-03,ERIS-YIT-202309,18.7357752842,-1,eris_settlement_dv01
2023-07-03,ERIS-YIW-202309,44.6685556064,-1,eris_settlement_dv01
2023-07-03,YAHOO-CONTINUOUS-ZF,44.6685556064,-1,cme_fixed_ics_ratio_proxy
2023-07-03,YAHOO-CONTINUOUS-ZT,37.4715505684,-1,cme_fixed_ics_ratio_proxy
2023-07-05,ERIS-YIT-202309,18.7281611143,-1,eris_settlement_dv01
2023-07-05,ERIS-YIW-202309,44.489912144,-1,eris_settlement_dv01
2023-07-05,YAHOO-CONTINUOUS-ZF,44.489912144,-1,cme_fixed_ics_ratio_proxy
2023-07-05,YAHOO-CONTINUOUS-ZT,37.4563222286,-1,cme_fixed_ics_ratio_proxy
2023-07-06,ERIS-YIT-202309,18.6884487848,-1,eris_settlement_dv01
2023-07-06,ERIS-YIW-202309,44.1803258179,-1,eris_settlement_dv01
