observation_date,source,series_id,maturity,rate_bps
2019-03-11,NYFED,EFFR,ON,240
2019-03-11,NYFED,SOFR,ON,238
2019-03-11,UST,DGS2,2Y,247
2019-03-11,UST,DGS5,5Y,244
2019-03-12,NYFED,EFFR,ON,240
2019-03-12,NYFED,SOFR,ON,239
2019-03-12,UST,DGS2,2Y,245
2019-03-12,UST,DGS5,5Y,241
2019-03-13,NYFED,EFFR,ON,240
2019-03-13,NYFED,SOFR,ON,240
2019-03-13,UST,DGS2,2Y,245
2019-03-13,UST,DGS5,5Y,242
2019-03-14,NYFED,EFFR,ON,240
2019-03-14,NYFED,SOFR,ON,242
2019-03-14,UST,DGS2,2Y,246
2019-03-14,UST,DGS5,5Y,243
2019-03-15,NYFED,EFFR,ON,240
2019-03-15,NYFED,SOFR,ON,246
2019-03-15,UST,DGS2,2Y,243
2019-03-15,UST,DGS5,5Y,240
2019-03-18,NYFED,EFFR,ON,240
2019-03-18,NYFED,SOFR,ON,241
2019-03-18,UST,DGS2,2Y,245
2019-03-18,UST,DGS5,5Y,242
2019-03-19,NYFED,EFFR,ON,240
2019-03-19,NYFED,SOFR,ON,242
2019-03-19,UST,DGS2,2Y,246
2019-03-19,UST,DGS5,5Y,242
2019-03-20,NYFED,EFFR,ON,241
2019-03-20,NYFED,SOFR,ON,247
2019-03-20,UST,DGS2,2Y,240
2019-03-20,UST,DGS5,5Y,234
2019-03-21,NYFED,EFFR,ON,241
2019-03-21,NYFED,SOFR,ON,244
2019-03-21,UST,DGS2,2Y,241
2019-03-21,UST,DGS5,5Y,234
2019-03-22,NYFED,EFFR,ON,241
2019-03-22,NYFED,SOFR,ON,240
2019-03-22,UST,DGS2,2Y,231
2019-03-22,UST,DGS5,5Y,224
2019-03-25,NYFED,EFFR,ON,240
2019-03-25,NYFED,SOFR,ON,240
2019-03-25,UST,DGS2,2Y,226
2019-03-25,UST,DGS5,5Y,221
2019-03-26,NYFED,EFFR,ON,240
2019-03-26,NYFED,SOFR,ON,240
2019-03-26,UST,DGS2,2Y,224
2019-03-26,UST,DGS5,5Y,218
2019-03-27,NYFED,EFFR,ON,241
2019-03-27,NYFED,SOFR,ON,240
2019-03-27,UST,DGS2,2Y,222
2019-03-27,UST,DGS5,5Y,218
2019-03-28,NYFED,EFFR,ON,241
2019-03-28,NYFED,SOFR,ON,243
2019-03-28,UST,DGS2,2Y,223
2019-03-28,UST,DGS5,5Y,220
2019-03-29,NYFED,EFFR,ON,243
2019-03-29,NYFED,SOFR,ON,265
2019-03-29,UST,DGS2,2Y,227
2019-03-29,UST,DGS5,5Y,223
2019-04-01,NYFED,EFFR,ON,241
2019-04-01,NYFED,SOFR,ON,246
2019-04-01,UST,DGS2,2Y,233
2019-04-01,UST,DGS5,5Y,231
2019-04-02,NYFED,EFFR,ON,241
2019-04-02,NYFED,SOFR,ON,246
2019-04-02,UST,DGS2,2Y,230
2019-04-02,UST,DGS5,5Y,228
2019-04-03,NYFED,EFFR,ON,241
2019-04-03,NYFED,SOFR,ON,247
2019-04-03,UST,DGS2,2Y,233
2019-04-03,UST,DGS5,5Y,232
2019-04-04,NYFED,EFFR,ON,241
2019-04-04,NYFED,SOFR,ON,246
2019-04-04,UST,DGS2,2Y,233
2019-04-04,UST,DGS5,5Y,232
2019-04-05,NYFED,EFFR,ON,241
2019-04-05,NYFED,SOFR,ON,246
2019-04-05,UST,DGS2,2Y,235
2019-04-05,UST,DGS5,5Y,231
2019-04-08,NYFED,EFFR,ON,241
2019-04-08,NYFED,SOFR,ON,246
2019-04-08,UST,DGS2,2Y,236
2019-04-08,UST,DGS5,5Y,233
2019-04-09,NYFED,EFFR,ON,241
2019-04-09,NYFED,SOFR,ON,245
2019-04-09,UST,DGS2,2Y,235
2019-04-09,UST,DGS5,5Y,231
2019-04-10,NYFED,EFFR,ON,241
2019-04-10,NYFED,SOFR,ON,245
2019-04-10,UST,DGS2,2Y,231
2019-04-10,UST,DGS5,5Y,228
2019-04-11,NYFED,EFFR,ON,241
2019-04-11,NYFED,SOFR,ON,244
2019-04-11,UST,DGS2,2Y,235
2019-04-11,UST,DGS5,5Y,231
2019-04-12,NYFED,EFFR,ON,241
2019-04-12,NYFED,SOFR,ON,244
2019-04-12,UST,DGS2,2Y,240
2019-04-12,UST,DGS5,5Y,238
2019-04-15,NYFED,EFFR,ON,241
2019-04-15,NYFED,SOFR,ON,247
2019-04-15,UST,DGS2,2Y,240
2019-04-15,UST,DGS5,5Y,237
2019-04-16,NYFED,EFFR,ON,241
2019-04-16,NYFED,SOFR,ON,247
2019-04-16,UST,DGS2,2Y,241
2019-04-16,UST,DGS5,5Y,241
2019-04-17,NYFED,EFFR,ON,242
2019-04-17,NYFED,SOFR,ON,250
2019-04-17,UST,DGS2,2Y,240
2019-04-17,UST,DGS5,5Y,240
2019-04-18,NYFED,EFFR,ON,243
2019-04-18,NYFED,SOFR,ON,250
2019-04-18,UST,DGS2,2Y,238
2019-04-18,UST,DGS5,5Y,238
2019-04-19,NYFED,EFFR,ON,244
2019-04-22,NYFED,EFFR,ON,244
2019-04-22,NYFED,SOFR,ON,246
2019-04-22,UST,DGS2,2Y,238
2019-04-22,UST,DGS5,5Y,239
2019-04-23,NYFED,EFFR,ON,244
2019-04-23,NYFED,SOFR,ON,246
2019-04-23,UST,DGS2,2Y,236
2019-04-23,UST,DGS5,5Y,236
2019-04-24,NYFED,EFFR,ON,244
2019-04-24,NYFED,SOFR,ON,244
2019-04-24,UST,DGS2,2Y,232
2019-04-24,UST,DGS5,5Y,232
2019-04-25,NYFED,EFFR,ON,244
2019-04-25,NYFED,SOFR,ON,245
2019-04-25,UST,DGS2,2Y,233
2019-04-25,UST,DGS5,5Y,233
2019-04-26,NYFED,EFFR,ON,244
2019-04-26,NYFED,SOFR,ON,246
2019-04-26,UST,DGS2,2Y,228
2019-04-26,UST,DGS5,5Y,229
2019-04-29,NYFED,EFFR,ON,245
2019-04-29,NYFED,SOFR,ON,248
2019-04-29,UST,DGS2,2Y,230
2019-04-29,UST,DGS5,5Y,232
2019-04-30,NYFED,EFFR,ON,245
2019-04-30,NYFED,SOFR,ON,276
2019-04-30,UST,DGS2,2Y,227
2019-04-30,UST,DGS5,5Y,228
2019-05-01,NYFED,EFFR,ON,245
2019-05-01,NYFED,SOFR,ON,254
2019-05-01,UST,DGS2,2Y,231
2019-05-01,UST,DGS5,5Y,231
2019-05-02,NYFED,EFFR,ON,241
2019-05-02,NYFED,SOFR,ON,250
2019-05-02,UST,DGS2,2Y,235
